udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,target,failure_type,installation_cohort,product_family,equipment_age_proxy,reliability_index,operating_stress,maintenance_efficiency,failure_risk_score,lifecycle_stage,criticality_score,criticality_level
1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,Gen1,M,0.0,0.7600000000000001,0.7272799956475066,1.2087805885083764,2.1829299543076974,,1.691355980417331,medium
2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,Gen1,L,0.00010001000100010001,0.7176084564978237,0.8051798819154764,1.1047527900022172,2.2892272424245315,new_install,1.4572448615444555,medium
3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,Gen1,L,0.00020002000200020003,0.7160074268296396,0.9704314220534371,0.9342027703948313,2.3444151305610745,new_install,1.528895478840461,medium
4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,Gen1,L,0.00030003000300030005,0.7144063971614554,0.6328345145607794,1.3645645505647954,2.1395653243536294,new_install,1.3456764841096858,medium
5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,Gen1,L,0.00040004000400040005,0.7128053674932712,0.5945254570888708,1.4398320317753897,2.1301443052456595,new_install,1.330415359224925,medium
6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,Gen1,M,0.0005000500050005,0.751204337825087,0.6971865063865631,1.2544115987772262,2.1363936051996286,new_install,1.6637133939958204,medium
7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,Gen1,L,0.0006000600060006001,0.7088127943229106,0.7139051115315317,1.2286444523223254,2.0132837159494863,new_install,1.319485019839254,medium
8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,Gen1,L,0.0007000700070007,0.7072117646547263,0.6403432488936697,1.3507248178386821,1.9738830911070915,new_install,1.2816562111109375,medium
9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,Gen1,M,0.0008000800080008001,0.7456107349865422,0.9581697569742763,0.945027953604905,2.3053031044208416,new_install,1.8095721688606197,medium
10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,Gen1,M,0.0009000900090009,0.7432191914843659,0.8775055451622508,1.023012099469999,2.368536129187556,new_install,1.8106661152236978,medium
